experiment_path,seed,model1_loss,model1_hamming,model1_accuracy,model2_loss,model2_hamming,model2_accuracy,y_test_violation,model_1_violation,model_2_violation
2_1.0_2_3,3,0.10866889357566833,0.04800000041723251,0.609333336353302,0.11413533985614777,0.04506666585803032,0.6453333497047424,0.0,0.18266666666666667,0.16666666666666666
4_1.5_2_1,1,0.16303062438964844,0.06986666470766068,0.6746666431427002,0.2724277377128601,0.06840000301599503,0.6813333630561829,0.0,0.24266666666666667,0.24133333333333334
4_1.5_2_1,2,0.16190388798713684,0.06639999896287918,0.6786666512489319,0.28682082891464233,0.06400000303983688,0.7080000042915344,0.0,0.232,0.20533333333333334
4_1.5_2_1,3,0.16469044983386993,0.06853333115577698,0.6746666431427002,0.26030072569847107,0.06813333183526993,0.6893333196640015,0.0,0.23333333333333334,0.20266666666666666
3_1.5_2_3,1,0.18387261033058167,0.07653333246707916,0.5199999809265137,0.21160322427749634,0.06026666611433029,0.6919999718666077,0.0,0.3253333333333333,0.16666666666666666
3_1.5_2_3,2,0.19114011526107788,0.0793333351612091,0.5106666684150696,0.21741342544555664,0.05973333492875099,0.6813333630561829,0.0,0.36933333333333335,0.18133333333333335
3_1.5_2_3,3,0.18992240726947784,0.08053333312273026,0.5053333044052124,0.22482141852378845,0.06373333185911179,0.6706666946411133,0.0,0.3506666666666667,0.17466666666666666
4_0.5_3_3,1,0.11747236549854279,0.047066666185855865,0.625333309173584,0.1130923181772232,0.047200001776218414,0.6520000100135803,0.0,0.184,0.18933333333333333
4_0.5_3_3,2,0.11780626326799393,0.047733332961797714,0.6226666569709778,0.10945023596286774,0.04386666789650917,0.6666666865348816,0.0,0.20133333333333334,0.15066666666666667
4_0.5_3_3,3,0.11748634278774261,0.047466665506362915,0.6293333172798157,0.10481522977352142,0.04453333467245102,0.656000018119812,0.0,0.16133333333333333,0.16133333333333333
3_0.5_3_1,1,0.1333494931459427,0.06466666609048843,0.5706666707992554,0.1822996735572815,0.06213333457708359,0.5920000076293945,0.0,0.33066666666666666,0.3466666666666667
3_0.5_3_1,2,0.13533763587474823,0.06573333591222763,0.5546666383743286,0.19879980385303497,0.06253333389759064,0.5946666598320007,0.0,0.344,0.3506666666666667
3_0.5_3_1,3,0.13576745986938477,0.06613333523273468,0.5479999780654907,0.1821199357509613,0.06386666744947433,0.5866666436195374,0.0,0.36133333333333334,0.3586666666666667
3_0.5_1_2,1,0.0374838225543499,0.015333333052694798,0.8586666584014893,0.03875306621193886,0.01360000018030405,0.8733333349227905,0.0,0.034666666666666665,0.029333333333333333
3_0.5_1_2,2,0.0341738797724247,0.013866666704416275,0.8693333268165588,0.03611687943339348,0.012000000104308128,0.8960000276565552,0.0,0.030666666666666665,0.02
3_0.5_1_2,3,0.035543762147426605,0.015066666528582573,0.862666666507721,0.03691958636045456,0.01346666645258665,0.8773333430290222,0.0,0.025333333333333333,0.024
3_1.5_2_2,1,0.14737661182880402,0.08533333241939545,0.5586666464805603,0.21144899725914001,0.05906666815280914,0.6573333144187927,0.0,0.34933333333333333,0.19066666666666668
3_1.5_2_2,2,0.1520494669675827,0.08506666868925095,0.5720000267028809,0.23109138011932373,0.05946666747331619,0.6493333578109741,0.0,0.3413333333333333,0.18533333333333332
3_1.5_2_2,3,0.14939911663532257,0.08560000360012054,0.5546666383743286,0.21142613887786865,0.06053333356976509,0.6346666812896729,0.0,0.36133333333333334,0.22
2_1.0_2_2,1,0.07158836722373962,0.03200000151991844,0.7306666374206543,0.06949120759963989,0.024533333256840706,0.8040000200271606,0.0,0.14,0.064
2_1.0_2_2,2,0.0692041739821434,0.03240000084042549,0.7306666374206543,0.07302487641572952,0.025200000032782555,0.800000011920929,0.0,0.15333333333333332,0.07066666666666667
2_1.0_2_2,3,0.07443796843290329,0.03333333507180214,0.7213333249092102,0.07515649497509003,0.02746666595339775,0.781333327293396,0.0,0.12,0.08266666666666667
3_0.5_1_3,1,0.0764012485742569,0.029200000688433647,0.7773333191871643,0.07347000390291214,0.024666666984558105,0.8173333406448364,0.0,0.07333333333333333,0.03333333333333333
3_0.5_1_3,2,0.07852081209421158,0.029466666281223297,0.7799999713897705,0.07564953714609146,0.024666666984558105,0.8199999928474426,0.0,0.09066666666666667,0.037333333333333336
3_0.5_1_3,3,0.07536162436008453,0.0270666666328907,0.7933333516120911,0.06966711580753326,0.02213333360850811,0.8333333134651184,0.0,0.06533333333333333,0.032
4_0.5_1_1,1,0.05397874489426613,0.020133333280682564,0.8573333621025085,0.06873328238725662,0.01613333262503147,0.8960000276565552,0.0,0.076,0.04533333333333334
4_0.5_1_1,2,0.0565231591463089,0.020666666328907013,0.8493333458900452,0.0738537535071373,0.01759999990463257,0.8853333592414856,0.0,0.092,0.06
4_0.5_1_1,3,0.05469333752989769,0.019600000232458115,0.8640000224113464,0.0656881034374237,0.01653333380818367,0.8893333077430725,0.0,0.06533333333333333,0.05466666666666667
4_0.5_3_2,1,0.08331739157438278,0.036533333361148834,0.7093333601951599,0.0933188796043396,0.036666665226221085,0.7173333168029785,0.0,0.15733333333333333,0.14666666666666667
4_0.5_3_2,2,0.08431297540664673,0.03759999945759773,0.7013333439826965,0.09542796015739441,0.03400000184774399,0.7319999933242798,0.0,0.164,0.11466666666666667
4_0.5_3_2,3,0.08833331614732742,0.04013333469629288,0.6786666512489319,0.0933506116271019,0.035999998450279236,0.7133333086967468,0.0,0.184,0.13333333333333333
2_0.5_2_3,1,0.09268327057361603,0.04320000112056732,0.6293333172798157,0.09235437214374542,0.03973333165049553,0.6786666512489319,0.0,0.15733333333333333,0.12
2_0.5_2_3,2,0.08972424268722534,0.04066666588187218,0.6520000100135803,0.08676304668188095,0.03759999945759773,0.690666675567627,0.0,0.15466666666666667,0.124
2_0.5_2_3,3,0.08761440962553024,0.04053333401679993,0.6626666784286499,0.08451738208532333,0.035599999129772186,0.7080000042915344,0.0,0.136,0.1
3_1.0_1_2,1,0.05032408609986305,0.019999999552965164,0.8320000171661377,0.05227585509419441,0.01693333312869072,0.862666666507721,0.0,0.05333333333333334,0.021333333333333333
3_1.0_1_2,2,0.05091724172234535,0.019866665825247765,0.8360000252723694,0.05122164264321327,0.01600000075995922,0.8733333349227905,0.0,0.044,0.028
3_1.0_1_2,3,0.048636067658662796,0.017866667360067368,0.843999981880188,0.05276613309979439,0.01600000075995922,0.8693333268165588,0.0,0.05733333333333333,0.029333333333333333
2_1.5_1_2,1,0.05082831531763077,0.020133333280682564,0.846666693687439,0.041728146374225616,0.013333333656191826,0.9079999923706055,0.0,0.056,0.012
2_1.5_1_2,2,0.050839461386203766,0.019866665825247765,0.8519999980926514,0.0385233536362648,0.013733332976698875,0.9013333320617676,0.0,0.050666666666666665,0.009333333333333334
2_1.5_1_2,3,0.05204310640692711,0.020266667008399963,0.8533333539962769,0.04341534897685051,0.012799999676644802,0.9106666445732117,0.0,0.06,0.013333333333333334
4_1.0_3_3,1,0.18658587336540222,0.0851999968290329,0.3893333375453949,0.2155752331018448,0.0803999975323677,0.5066666603088379,0.0,0.46266666666666667,0.328
4_1.0_3_3,2,0.18781790137290955,0.08426667004823685,0.40533334016799927,0.21408577263355255,0.08186666667461395,0.4573333263397217,0.0,0.448,0.39066666666666666
4_1.0_3_3,3,0.18920570611953735,0.08720000088214874,0.3880000114440918,0.20448239147663116,0.0835999995470047,0.47866666316986084,0.0,0.45466666666666666,0.38533333333333336
3_1.0_3_1,1,0.16148075461387634,0.08373333513736725,0.5333333611488342,0.22789312899112701,0.07919999957084656,0.5866666436195374,0.0,0.376,0.348
3_1.0_3_1,2,0.16085059940814972,0.08053333312273026,0.5440000295639038,0.20953992009162903,0.07653333246707916,0.5879999995231628,0.0,0.3293333333333333,0.30266666666666664
3_1.0_3_1,3,0.1606891006231308,0.0817333310842514,0.5533333420753479,0.20345351099967957,0.0809333324432373,0.562666654586792,0.0,0.3453333333333333,0.3546666666666667
2_1.5_3_1,1,0.021420154720544815,0.00839999970048666,0.9293333292007446,0.025255052372813225,0.008266666904091835,0.9306666851043701,0.0,0.029333333333333333,0.029333333333333333
2_1.5_3_1,2,0.022668709978461266,0.009600000455975533,0.9146666526794434,0.02505733072757721,0.00853333342820406,0.9293333292007446,0.0,0.034666666666666665,0.029333333333333333
2_1.5_3_1,3,0.02146122418344021,0.008266666904091835,0.9240000247955322,0.022800540551543236,0.008266666904091835,0.9293333292007446,0.0,0.04133333333333333,0.032
2_0.5_2_2,1,0.06861156970262527,0.03240000084042549,0.7226666808128357,0.07416508346796036,0.02786666713654995,0.765333354473114,0.0,0.11866666666666667,0.08666666666666667
2_0.5_2_2,2,0.06515903025865555,0.0284000001847744,0.7573333382606506,0.07520941644906998,0.025200000032782555,0.800000011920929,0.0,0.124,0.09066666666666667
2_0.5_2_2,3,0.0675228163599968,0.0273333340883255,0.7680000066757202,0.07051388919353485,0.024800000712275505,0.7933333516120911,0.0,0.07333333333333333,0.056
4_1.0_3_2,1,0.10228212922811508,0.048133332282304764,0.6466666460037231,0.11856336891651154,0.04466666653752327,0.6866666674613953,0.0,0.18266666666666667,0.17733333333333334
4_1.0_3_2,2,0.09970757365226746,0.04639999940991402,0.6573333144187927,0.10834544152021408,0.046266667544841766,0.6813333630561829,0.0,0.192,0.16266666666666665
4_1.0_3_2,3,0.10204024612903595,0.046666666865348816,0.6573333144187927,0.12143191695213318,0.03959999978542328,0.7133333086967468,0.0,0.18533333333333332,0.14266666666666666
2_1.5_1_3,1,0.1077992394566536,0.04360000044107437,0.7160000205039978,0.15362514555454254,0.03533333167433739,0.8066666722297668,0.0,0.16,0.048
2_1.5_1_3,2,0.1148310974240303,0.047600001096725464,0.6893333196640015,0.17984835803508759,0.04026666656136513,0.7773333191871643,0.0,0.164,0.06666666666666667
2_1.5_1_3,3,0.10941623896360397,0.04373333230614662,0.7173333168029785,0.16199272871017456,0.03840000182390213,0.7986666560173035,0.0,0.168,0.04533333333333334
3_1.0_1_3,1,0.12073711305856705,0.05133333429694176,0.6213333606719971,0.10978996008634567,0.03480000048875809,0.7666666507720947,0.0,0.16666666666666666,0.06
3_1.0_1_3,2,0.12131103873252869,0.04800000041723251,0.6439999938011169,0.11067511141300201,0.03426666557788849,0.7773333191871643,0.0,0.15333333333333332,0.072
3_1.0_1_3,3,0.12272194027900696,0.04919999837875366,0.6453333497047424,0.11022365838289261,0.03386666625738144,0.7693333625793457,0.0,0.152,0.06
4_1.0_1_1,1,0.059133317321538925,0.02266666665673256,0.8320000171661377,0.07974260300397873,0.01746666617691517,0.8880000114440918,0.0,0.08933333333333333,0.03333333333333333
4_1.0_1_1,2,0.058716874569654465,0.02266666665673256,0.8346666693687439,0.07987826317548752,0.018666666001081467,0.890666663646698,0.0,0.08533333333333333,0.036
4_1.0_1_1,3,0.059472981840372086,0.02266666665673256,0.8320000171661377,0.06960103660821915,0.020400000736117363,0.8693333268165588,0.0,0.08666666666666667,0.052
3_0.5_2_2,1,0.048284318298101425,0.020533332601189613,0.8453333377838135,0.05802091956138611,0.019200000911951065,0.8600000143051147,0.0,0.05333333333333334,0.032
3_0.5_2_2,2,0.047167398035526276,0.018666666001081467,0.8493333458900452,0.05662209913134575,0.01746666617691517,0.8706666827201843,0.0,0.06133333333333333,0.034666666666666665
3_0.5_2_2,3,0.05098823085427284,0.02213333360850811,0.8320000171661377,0.05932645499706268,0.02186666615307331,0.8333333134651184,0.0,0.058666666666666666,0.037333333333333336
4_1.5_3_2,1,0.21527916193008423,0.10920000076293945,0.35333332419395447,0.2765234708786011,0.09186666458845139,0.5333333611488342,0.0,0.5586666666666666,0.37333333333333335
4_1.5_3_2,2,0.2160128951072693,0.11559999734163284,0.3213333189487457,0.28243184089660645,0.08946666866540909,0.5106666684150696,0.0,0.5986666666666667,0.3453333333333333
4_1.5_3_2,3,0.2103429138660431,0.10586666315793991,0.3413333296775818,0.23924365639686584,0.08346666395664215,0.5479999780654907,0.0,0.5546666666666666,0.376
2_1.0_1_3,1,0.07283861935138702,0.029200000688433647,0.762666642665863,0.08800525963306427,0.025733333081007004,0.8146666884422302,0.0,0.07333333333333333,0.034666666666666665
2_1.0_1_3,2,0.07530120760202408,0.029200000688433647,0.765333354473114,0.09641101211309433,0.025466667488217354,0.8186666369438171,0.0,0.08533333333333333,0.032
2_1.0_1_3,3,0.07240916043519974,0.029466666281223297,0.7613333463668823,0.08334052562713623,0.02293333411216736,0.8293333053588867,0.0,0.08266666666666667,0.025333333333333333
4_1.5_1_1,1,0.10292521864175797,0.0281333327293396,0.8346666693687439,0.1624268889427185,0.02226666733622551,0.890666663646698,0.0,0.08,0.03333333333333333
4_1.5_1_1,2,0.0880647823214531,0.026799999177455902,0.8493333458900452,0.14732344448566437,0.02186666615307331,0.8893333077430725,0.0,0.08133333333333333,0.04133333333333333
4_1.5_1_1,3,0.10138187557458878,0.0281333327293396,0.8346666693687439,0.20277659595012665,0.023733332753181458,0.8840000033378601,0.0,0.09066666666666667,0.044
3_1.5_1_3,1,0.14066757261753082,0.0544000007212162,0.6706666946411133,0.22394922375679016,0.040933333337306976,0.7893333435058594,0.0,0.18933333333333333,0.07466666666666667
3_1.5_1_3,2,0.14400063455104828,0.057866666465997696,0.6426666378974915,0.2083551585674286,0.04253333434462547,0.7746666669845581,0.0,0.19733333333333333,0.08133333333333333
3_1.5_1_3,3,0.1383235901594162,0.05400000140070915,0.6613333225250244,0.14011597633361816,0.03773333504796028,0.7893333435058594,0.0,0.208,0.084
3_0.5_2_3,1,0.09467018395662308,0.041600000113248825,0.6679999828338623,0.09462981671094894,0.03440000116825104,0.7413333058357239,0.0,0.17333333333333334,0.112
3_0.5_2_3,2,0.10168710350990295,0.04600000008940697,0.6320000290870667,0.10406488180160522,0.03746666759252548,0.7173333168029785,0.0,0.20933333333333334,0.112
3_0.5_2_3,3,0.0995720848441124,0.04453333467245102,0.6386666893959045,0.09585744887590408,0.03293333202600479,0.7426666617393494,0.0,0.204,0.12933333333333333
4_0.5_2_1,1,0.10963001847267151,0.04586666822433472,0.6919999718666077,0.14146357774734497,0.04373333230614662,0.7173333168029785,0.0,0.23333333333333334,0.21066666666666667
4_0.5_2_1,2,0.11337351053953171,0.04493333399295807,0.6933333277702332,0.1567927598953247,0.04439999908208847,0.7133333086967468,0.0,0.22933333333333333,0.21333333333333335
4_0.5_2_1,3,0.11056248843669891,0.04479999840259552,0.6880000233650208,0.14909884333610535,0.04439999908208847,0.7146666646003723,0.0,0.24666666666666667,0.2
3_1.5_1_2,1,0.059439513832330704,0.024133333936333656,0.8226666450500488,0.06081771478056908,0.018133332952857018,0.8813333511352539,0.0,0.076,0.021333333333333333
3_1.5_1_2,2,0.05868995934724808,0.02280000038444996,0.8346666693687439,0.05574283003807068,0.015333333052694798,0.8960000276565552,0.0,0.07466666666666667,0.021333333333333333
3_1.5_1_2,3,0.05806233361363411,0.02253333292901516,0.8293333053588867,0.0533093698322773,0.014933333732187748,0.8960000276565552,0.0,0.064,0.024
2_1.0_1_2,1,0.035816408693790436,0.014533333480358124,0.8813333511352539,0.037740591913461685,0.014000000432133675,0.8946666717529297,0.0,0.030666666666666665,0.010666666666666666
2_1.0_1_2,2,0.03247303143143654,0.012133332900702953,0.8946666717529297,0.03224042430520058,0.01119999960064888,0.9120000004768372,0.0,0.024,0.010666666666666666
2_1.0_1_2,3,0.03715328872203827,0.015333333052694798,0.8759999871253967,0.041472289711236954,0.014000000432133675,0.8893333077430725,0.0,0.025333333333333333,0.010666666666666666
3_1.5_3_1,1,0.19035224616527557,0.09293333441019058,0.5786666870117188,0.3692060112953186,0.09440000355243683,0.5879999995231628,0.0,0.37333333333333335,0.3546666666666667
3_1.5_3_1,2,0.19319650530815125,0.09386666864156723,0.5720000267028809,0.37106871604919434,0.08933333307504654,0.5920000076293945,0.0,0.368,0.3546666666666667
3_1.5_3_1,3,0.1918552666902542,0.09253333508968353,0.5720000267028809,0.5315626859664917,0.09480000287294388,0.5853333473205566,0.0,0.372,0.368
4_1.5_3_3,1,0.24694019556045532,0.1133333370089531,0.30133333802223206,0.3023882210254669,0.10786666721105576,0.4359999895095825,0.0,0.5773333333333334,0.43333333333333335
4_1.5_3_3,2,0.2468966543674469,0.113066665828228,0.29866665601730347,0.2909010648727417,0.10693333297967911,0.42800000309944153,0.0,0.5853333333333334,0.42933333333333334
4_1.5_3_3,3,0.2418881505727768,0.11106666922569275,0.30533334612846375,0.30240723490715027,0.10813333094120026,0.41866666078567505,0.0,0.5786666666666667,0.43466666666666665
2_1.0_3_1,1,0.01750638335943222,0.007466666866093874,0.9306666851043701,0.018179232254624367,0.006533333566039801,0.9413333535194397,0.0,0.029333333333333333,0.02266666666666667
2_1.0_3_1,2,0.018330220133066177,0.006800000090152025,0.9386666417121887,0.020263517275452614,0.007199999876320362,0.9346666932106018,0.0,0.030666666666666665,0.02666666666666667
2_1.0_3_1,3,0.01717045158147812,0.006800000090152025,0.9386666417121887,0.017078109085559845,0.006000000052154064,0.9466666579246521,0.0,0.030666666666666665,0.02
2_0.5_3_3,1,0.05356886237859726,0.020933333784341812,0.8266666531562805,0.0576503686606884,0.019600000232458115,0.828000009059906,0.0,0.04533333333333334,0.044
2_0.5_3_3,2,0.05569624528288841,0.02160000056028366,0.8199999928474426,0.05532209575176239,0.018266666680574417,0.8399999737739563,0.0,0.05733333333333333,0.04533333333333334
2_0.5_3_3,3,0.05345553159713745,0.020933333784341812,0.8253333568572998,0.05948101356625557,0.018133332952857018,0.8426666855812073,0.0,0.048,0.037333333333333336
2_1.5_2_1,1,0.021911917254328728,0.008133333176374435,0.9279999732971191,0.025901848450303078,0.00786666665226221,0.937333345413208,0.0,0.037333333333333336,0.02666666666666667
2_1.5_2_1,2,0.022644486278295517,0.008666666224598885,0.9266666769981384,0.03030500002205372,0.00839999970048666,0.9359999895095825,0.0,0.034666666666666665,0.02
2_1.5_2_1,3,0.023483870550990105,0.009333333000540733,0.9226666688919067,0.03084072656929493,0.008933333680033684,0.9279999732971191,0.0,0.029333333333333333,0.025333333333333333
