experiment_path,seed,model1_loss,model1_hamming,model1_accuracy,model2_loss,model2_hamming,model2_accuracy,y_test_violation,model_1_violation,model_2_violation
2_1.0_2_2,1,0.18749147653579712,0.07720000296831131,0.4946666657924652,0.21043817698955536,0.06880000233650208,0.5946666598320007,0.0,0.3506666666666667,0.252
2_1.0_2_2,2,0.19219328463077545,0.0803999975323677,0.48399999737739563,0.20809370279312134,0.07066666334867477,0.5853333473205566,0.0,0.35333333333333333,0.22
4_0.5_1_1,1,0.0879756286740303,0.035599999129772186,0.7066666483879089,0.07588790357112885,0.029333332553505898,0.7573333382606506,0.0,0.15333333333333332,0.088
4_0.5_1_1,2,0.08399557322263718,0.03426666557788849,0.7173333168029785,0.07655344903469086,0.029466666281223297,0.7613333463668823,0.0,0.12933333333333333,0.092
4_0.5_3_2,1,0.10395009815692902,0.04586666822433472,0.6200000047683716,0.09897618740797043,0.046933334320783615,0.6026666760444641,0.0,0.22133333333333333,0.19333333333333333
4_0.5_3_2,2,0.1068001314997673,0.047733332961797714,0.609333336353302,0.10157104581594467,0.04546666517853737,0.6240000128746033,0.0,0.22533333333333333,0.2
5_0.5_2_1,1,0.11159718781709671,0.04586666822433472,0.6320000290870667,0.10661427676677704,0.04253333434462547,0.6706666946411133,0.0,0.20266666666666666,0.17866666666666667
5_0.5_2_1,2,0.110323466360569,0.04639999940991402,0.628000020980835,0.10841941833496094,0.04360000044107437,0.6626666784286499,0.0,0.20266666666666666,0.17733333333333334
3_1.0_1_2,1,0.15468637645244598,0.06226666644215584,0.6306666731834412,0.17403973639011383,0.0538666658103466,0.7253333330154419,0.0,0.23066666666666666,0.13333333333333333
3_1.0_1_2,2,0.15904860198497772,0.06319999694824219,0.6240000128746033,0.17511793971061707,0.0533333346247673,0.7293333411216736,0.0,0.22,0.11866666666666667
2_1.5_1_2,1,0.15900719165802002,0.06213333457708359,0.6493333578109741,0.1914641112089157,0.05026666820049286,0.762666642665863,0.0,0.228,0.07733333333333334
2_1.5_1_2,2,0.15935936570167542,0.06146666780114174,0.6466666460037231,0.2042047530412674,0.046666666865348816,0.7786666750907898,0.0,0.208,0.08933333333333333
3_1.0_3_1,1,0.18887487053871155,0.07853333652019501,0.4346666634082794,0.20261943340301514,0.07333333045244217,0.4986666738986969,0.0,0.38533333333333336,0.3373333333333333
3_1.0_3_1,2,0.18774795532226562,0.07733333110809326,0.445333331823349,0.18708163499832153,0.07333333045244217,0.5013333559036255,0.0,0.396,0.3466666666666667
2_1.5_3_1,1,0.15802742540836334,0.058533333241939545,0.6586666703224182,0.16932044923305511,0.04466666653752327,0.7760000228881836,0.0,0.2,0.116
2_1.5_3_1,2,0.15630190074443817,0.056533332914114,0.6706666946411133,0.18190400302410126,0.04520000144839287,0.7786666750907898,0.0,0.19066666666666668,0.10666666666666667
2_0.5_2_2,1,0.09317037463188171,0.03706666827201843,0.7080000042915344,0.09247120469808578,0.03346666693687439,0.7400000095367432,0.0,0.15733333333333333,0.11333333333333333
2_0.5_2_2,2,0.09763272851705551,0.03720000013709068,0.699999988079071,0.09707776457071304,0.03440000116825104,0.737333357334137,0.0,0.13466666666666666,0.11733333333333333
5_1.5_3_2,1,0.3079891502857208,0.1313333362340927,0.2613333463668823,0.34906938672065735,0.12866666913032532,0.3426666557788849,0.0,0.6306666666666667,0.5146666666666667
5_1.5_3_2,2,0.3089471459388733,0.12960000336170197,0.25466665625572205,0.3730148673057556,0.12866666913032532,0.35733333230018616,0.0,0.6493333333333333,0.508
4_1.0_3_2,1,0.2312273532152176,0.09279999881982803,0.3466666638851166,0.23619288206100464,0.09293333441019058,0.40933331847190857,0.0,0.5666666666666667,0.4573333333333333
4_1.0_3_2,2,0.22104130685329437,0.09466666728258133,0.3466666638851166,0.2386453002691269,0.09040000289678574,0.41466665267944336,0.0,0.5546666666666666,0.456
5_1.5_1_1,1,0.24320976436138153,0.10080000013113022,0.41866666078567505,0.2635219693183899,0.08773333579301834,0.5440000295639038,0.0,0.4573333333333333,0.31733333333333336
5_1.5_1_1,2,0.24769778549671173,0.10426666587591171,0.40400001406669617,0.25089436769485474,0.08839999884366989,0.5360000133514404,0.0,0.46,0.31866666666666665
4_1.0_1_1,1,0.14102186262607574,0.06026666611433029,0.5879999995231628,0.14159712195396423,0.05026666820049286,0.6813333630561829,0.0,0.25066666666666665,0.15066666666666667
4_1.0_1_1,2,0.1380949318408966,0.0554666668176651,0.6000000238418579,0.13733240962028503,0.05093333497643471,0.6706666946411133,0.0,0.244,0.16133333333333333
3_0.5_2_2,1,0.09809355437755585,0.04493333399295807,0.6333333253860474,0.09422692656517029,0.03533333167433739,0.7226666808128357,0.0,0.17866666666666667,0.136
3_0.5_2_2,2,0.0964464321732521,0.041466668248176575,0.6746666431427002,0.09872177988290787,0.036933332681655884,0.7146666646003723,0.0,0.18533333333333332,0.13733333333333334
5_1.0_3_2,1,0.22915683686733246,0.09520000219345093,0.3720000088214874,0.23353250324726105,0.09319999814033508,0.42533332109451294,0.0,0.47733333333333333,0.372
5_1.0_3_2,2,0.22493138909339905,0.09346666932106018,0.36533331871032715,0.23406319320201874,0.08893333375453949,0.43066665530204773,0.0,0.476,0.36933333333333335
4_1.5_3_2,1,0.3218235969543457,0.13946667313575745,0.1653333306312561,0.39257168769836426,0.14213334023952484,0.2906666696071625,0.0,0.728,0.584
4_1.5_3_2,2,0.323121577501297,0.13733333349227905,0.1679999977350235,0.4072399139404297,0.1422666609287262,0.29466667771339417,0.0,0.7213333333333334,0.5666666666666667
5_1.0_1_1,1,0.16504544019699097,0.06746666878461838,0.515999972820282,0.15991824865341187,0.05973333492875099,0.5973333120346069,0.0,0.312,0.224
5_1.0_1_1,2,0.164079487323761,0.06319999694824219,0.5413333177566528,0.1521945595741272,0.05946666747331619,0.5986666679382324,0.0,0.2813333333333333,0.22933333333333333
4_1.5_1_1,1,0.20172978937625885,0.08813333511352539,0.5106666684150696,0.22622573375701904,0.07079999893903732,0.6453333497047424,0.0,0.34,0.21066666666666667
4_1.5_1_1,2,0.20552696287631989,0.08826666325330734,0.518666684627533,0.24903574585914612,0.07493333518505096,0.6320000290870667,0.0,0.32266666666666666,0.22
